"classAttribute_attributes_0","classAttribute_attributes_1","classAttribute_baseIri","classAttribute_id","classAttribute_instances","classAttribute_iri","classAttribute_label_IRI-based","classAttribute_label_undefined","classAttribute_pos_0","classAttribute_pos_1","classAttribute_subClasses_0","classAttribute_subClasses_1","classAttribute_subClasses_2","classAttribute_subClasses_3","classAttribute_subClasses_4","classAttribute_subClasses_5","classAttribute_subClasses_6","classAttribute_subClasses_7","classAttribute_subClasses_8","classAttribute_superClasses_0","classAttribute_union_0","classAttribute_union_1"
"external","","http://www.hozo.jp/rdf/startuplife.xml","21","0","http://www.hozo.jp/rdf/startuplife.xml#Make_an_appointment","Make_an_appointment","Make an appointment","","","","","","","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","81","0","http://www.hozo.jp/rdf/startuplife.xml#Go_to_city_hall","Go_to_city_hall","Go to city hall","","","","","","","","","","","","7","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","65","0","http://www.hozo.jp/rdf/startuplife.xml#WholnessConcept","WholnessConcept","WholenessConcept","","","17","","","","","","","","","","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","88","0","http://www.hozo.jp/rdf/startuplife.xml#payment_card","payment_card","payment card","486.548799097","1016.77876038","144","145","146","132","147","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","68","0","http://www.hozo.jp/rdf/startuplife.xml#Way","Way","Way","1171.85678667","374.977023297","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","152","0","http://www.hozo.jp/rdf/startuplife.xml#phone_call","phone_call","phone call","","","","","","","","","","","","22","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","56","0","http://www.hozo.jp/rdf/startuplife.xml#House","House","House","650.69513421","1315.9611243","103","55","","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","80","0","http://www.hozo.jp/rdf/startuplife.xml#Local_money","Local_money","Local money","","","","","","","","","","","","78","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","43","0","http://www.hozo.jp/rdf/startuplife.xml#next","next","next","1886.8485463","301.384568574","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","124","0","http://www.hozo.jp/rdf/startuplife.xml#Certification","Certification","Certification","","","","","","","","","","","","5","",""
